Company,Skill
3EA,"Artificial Intelligence & Machine Learning, Consulting Skills, Data Analytics, Digital Marketing, Financial Acumen"
64Squares,"Adaptability, Application Support, Communication, Critical Thinking, Database Management, Game Development, Problem-Solving, Programming Languages (Java Python C++ JavaScript), System Administration, Teamwork & Collaboration"
ACA Group,"Artificial Intelligence & Machine Learning, Cloud Computing, Data Analytics, Database Management, Financial Acumen"
ACI Worldwide,"Cloud Computing, Data Analytics, Database Management, Financial Acumen, Problem-Solving, Programming Languages (Java Python C++ JavaScript)"
ADP,"Artificial Intelligence & Machine Learning, Cloud Computing, Communication, Consulting Skills, Database Management, Financial Acumen"
AGCO,"Adaptability, Communication, Project Management, Teamwork & Collaboration, control systems"
Accelya,"API Devlopment, Adaptability, Artificial Intelligence & Machine Learning, Cloud Computing, Communication, Critical Thinking, Data Analytics, Database Management, Problem-Solving, Programming Languages (Java Python C++ JavaScript), Project Management, SDLC (Agile DevOps CI/CD), Testing, Web Development"
Accenture,"Artificial Intelligence & Machine Learning, Cloud Computing, Consulting Skills, SDLC (Agile DevOps CI/CD), Software Development"
Acquia,"Artificial Intelligence & Machine Learning, CRM Systems, Cloud Computing, Digital Marketing, Web Development"
Acuiti Labs,"Cloud Computing, Consulting Skills, Database Management, Problem-Solving, SDLC (Agile DevOps CI/CD), Software Development"
Agiliad Technology,"Artificial Intelligence & Machine Learning, Embedded Systems, Hardware Mechatronics, SDLC (Agile DevOps CI/CD), Software Development"
AlefEdge,"Artificial Intelligence & Machine Learning, Blockchain, Cloud Computing, Embedded Systems, SDLC (Agile DevOps CI/CD), Software Development"
Aligned Automation,"API Devlopment, Adaptability, Cloud Computing, Database Management, Problem-Solving, Programming Languages (Java Python C++ JavaScript), Project Management, Testing, Version Control, Web Development"
Alpha Sense,"Artificial Intelligence & Machine Learning, Cloud Computing, Data Analytics, Database Management, Problem-Solving, Software Development"
Altimetrik,"Cloud Computing, Communication, Database Management, Problem-Solving, Programming Languages (Java Python C++ JavaScript), SDLC (Agile DevOps CI/CD), Software Development"
Altizon Inc.,"Artificial Intelligence & Machine Learning, Cloud Computing, Data Analytics, Embedded Systems, IoT, Web Development"
Altometa,"Artificial Intelligence & Machine Learning, Blockchain, Cryptography, Data Analytics, Software Development"
Amazon,"Adaptability, Artificial Intelligence & Machine Learning, Cloud Computing, Communication, Critical Thinking, Data Analytics, Database Management, Digital Marketing, Financial Acumen, Object-Oriented Design (OOD), Problem-Solving, Programming Languages (Java Python C++ JavaScript), Supply Chain Technology, System Design & Scalability, Teamwork & Collaboration, Testing, VLSI Design, Version Control"
Amdocs,"API Devlopment, Adaptability, Cloud Computing, Critical Thinking, Cybersecurity, Database Management, Problem-Solving, Programming Languages (Java Python C++ JavaScript), Project Management, Risk Analysis, SDLC (Agile DevOps CI/CD), Telecommunication Systems, Testing, UI/UX, Version Control, Web Development"
Amura,"Communication, Database Management, Digital Marketing, Marketing, Problem-Solving, Programming Languages (Java Python C++ JavaScript), SDLC (Agile DevOps CI/CD), Web Development"
Anchanto,"Application Support, Cloud Computing, Database Management, Project Management, SDLC (Agile DevOps CI/CD), Web Development"
Apisero,"Cloud Computing, Database Management, Problem-Solving, Programming Languages (Java Python C++ JavaScript), SDLC (Agile DevOps CI/CD), Software Development"
Arista Networks,"Adaptability, Artificial Intelligence & Machine Learning, Cloud Computing, Communication, Consulting Skills, Critical Thinking, Cybersecurity, Data Analytics, Problem-Solving, Programming Languages (Java Python C++ JavaScript), Project Management, Risk Analysis, Teamwork & Collaboration"
Aspect Ratio,"Artificial Intelligence & Machine Learning, Cloud Computing, Critical Thinking, Data Analytics, Database Management, Problem-Solving"
